Site,Protocol Note,Manufacturer,Scanner,N,,,,,,,,,
Kolkata,Siemens,0.035,0.836,0.61,50,8,2367,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:10,
Mumbai,Siemens,0.035,0.825,0.61,50,8,2365,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:22,
Punjab,Siemens,0.05,1.06,0.84,50,8,2105,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,13:44,6:52 x 2
Rajasthan,Siemens,0.032,0.836,0.28,50,8,2367,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:22,5:11 x 2
Delhi/Haryana,Philips,0.035,5.00071,0.33,50,-,3275,"PA, AP",100,96 x 96 x 64,2.5 x 2.5 x 2.5,16:40,
NIMHANS,Philips,0.035,0.836,0.63,50,8,2427,"PA, AP",352,96 x 96 x 64,2.5 x 2.5 x 2.5,10:00,
Uttarakhand,Philips,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
